url,depth,id,description,context,type,tags,firstColumn,lastLine,lastColumn,firstLine,impact,help,helpUrl
https://en.wikipedia.org/wiki/Wikipedia:Introduction,1,html,The “big” element is obsolete. Use CSS instead.,"</td>
<td><big><a hre",error,html,5,56,9,,,,
https://en.wikipedia.org/wiki/Wikipedia:Introduction,1,html,The “cellspacing” attribute on the “table” element is obsolete. Use CSS instead.,"></table>
<table style=""width:100%; margin:auto; background:transparent;"" cellspacing=""0"" cellpadding=""0"" border=""0"">
<tbod",error,html,1,58,107,,,,
https://en.wikipedia.org/wiki/Wikipedia:Introduction,1,html,The “cellpadding” attribute on the “table” element is obsolete. Use CSS instead.,"></table>
<table style=""width:100%; margin:auto; background:transparent;"" cellspacing=""0"" cellpadding=""0"" border=""0"">
<tbod",error,html,1,58,107,,,,
https://en.wikipedia.org/wiki/Wikipedia:Introduction,1,html,The “border” attribute on the “table” element is obsolete. Use CSS instead.,"></table>
<table style=""width:100%; margin:auto; background:transparent;"" cellspacing=""0"" cellpadding=""0"" border=""0"">
<tbod",error,html,1,58,107,,,,
https://en.wikipedia.org/wiki/Wikipedia:Introduction,1,html,The “width” attribute on the “td” element is obsolete. Use CSS instead.,"tbody><tr>
<td style=""padding:0 .3em; background-color:white; border:solid 2px #A3B1BF; border-bottom: 0; text-align:center; font-weight:bold;"" width=""23.5%""><a cla",error,html,12,60,147,59,,,
https://en.wikipedia.org/wiki/Wikipedia:Introduction,1,html,The “width” attribute on the “td” element is obsolete. Use CSS instead.,"</a>
</td>
<td style=""border-bottom:2px solid #A3B1BF"" width=""2%"">&nbsp;",error,html,6,62,55,61,,,
https://en.wikipedia.org/wiki/Wikipedia:Introduction,1,html,The “width” attribute on the “td” element is obsolete. Use CSS instead.,"bsp;
</td>
<td style=""padding:0 .3em; background-color:#CEE0F2; font-size:90%; border:solid 2px #A3B1BF; text-align:center"" width=""23.5%""><a hre",error,html,6,64,127,63,,,
https://en.wikipedia.org/wiki/Wikipedia:Introduction,1,html,The “width” attribute on the “td” element is obsolete. Use CSS instead.,"</a>
</td>
<td style=""border-bottom:2px solid #A3B1BF"" width=""2%"">&nbsp;",error,html,6,66,55,65,,,
https://en.wikipedia.org/wiki/Wikipedia:Introduction,1,html,The “width” attribute on the “td” element is obsolete. Use CSS instead.,"bsp;
</td>
<td style=""padding:0 .3em; background-color:#CEE0F2; font-size:90%; border:solid 2px #A3B1BF; text-align:center"" width=""23.5%""><a hre",error,html,6,68,127,67,,,
https://en.wikipedia.org/wiki/Wikipedia:Introduction,1,html,The “width” attribute on the “td” element is obsolete. Use CSS instead.,"</a>
</td>
<td style=""border-bottom:2px solid #A3B1BF"" width=""2%"">&nbsp;",error,html,6,70,55,69,,,
